Y,X1,X2,X3,X4,Z1,Z2,Z3,Z4,Z5,Z6,Z7
6.36990098282823,8.08641027532378,3.66356164612965,2.99573227355399,3.10009228887823,50,6,0,1,0,1,1
5.63478960316925,6.39692965521615,0,1.6094379124341,2.68784749378469,47,12,0,1,0,0,0
5.29831736654804,6.21460809842219,0,1.6094379124341,2.14006616349627,38,12,0,1,0,0,0
6.22257626807137,7.3132203870903,1.79175946922806,1.79175946922806,3.41444260841218,45,6,0,1,0,0,0
5.29831736654804,6.21460809842219,0,1.6094379124341,2.33214389523559,45,6,0,1,0,0,0
5.29330482472449,6.39692965521615,2.07944154167984,1.6094379124341,2.4932054526027,40,12,0,1,0,0,0
5.92692602597041,6.90775527898214,0,2.19722457733622,2.77258872223978,60,1,0,0,0,0,0
5.73657229747919,6.5510803350434,0,1.88706964903238,2.52572864430826,49,6,0,1,0,0,0
6.42162226780652,7.3132203870903,0,2.56494935746154,3.19458313229916,33,1,0,1,0,0,0
5.95064255258773,6.90775527898214,0,2.19722457733622,2.94443897916644,41,12,0,1,0,0,0
6.69703424766648,7.60090245954208,2.83321334405622,2.83321334405622,3.42751468997953,37,9,0,1,0,0,0
6.64378973314767,7.60090245954208,2.484906649788,2.83321334405622,3.46885603013597,48,9,0,1,0,0,0
5.7037824746562,6.68461172766793,1.79175946922806,1.94591014905531,2.78501124223834,34,9,0,1,0,0,0
6.65415252018322,7.60090245954208,2.30258509299405,2.83321334405622,3.44998754583159,45,6,0,1,0,0,0
7.56008046502183,8.51719319141624,0,3.71357206670431,4.08933202039856,58,1,0,1,0,0,0
5.95064255258773,6.90775527898214,2.07944154167984,2.19722457733622,2.91235066461494,27,12,0,1,0,0,0
6.02102334934953,6.90775527898214,1.94591014905531,2.19722457733622,3.04452243772342,56,12,0,1,0,0,0
7.2034055210831,7.60090245954208,2.07944154167984,2.83321334405622,3.42426265459315,44,12,0,0,0,0,0
7.04925484125584,7.60090245954208,2.39789527279837,2.83321334405622,3.45946628978613,48,6,0,0,0,0,0
6.64378973314767,6.90775527898214,2.63905732961526,2.19722457733622,3.01062088604774,33,12,0,0,0,0,0
6.35610766069589,6.90775527898214,0,2.19722457733622,3.00568260440716,48,6,0,0,0,0,0
