PROP,TAHUN,KONVERSI,POP,RASIO.LAHAN,PROTAS,RASIO.INDU,GABAH,RASIO.PDRB
JAWA TENGAH,2019,69043,34552.5,32.0011865604047,57.53,0.392699702485684,4816.46,0.135294938866682
DI YOGYAKARTA,2015,-864,3669.2,17.0923830649666,60.65,0.811395925731038,4461.24,0.106406679744876
DI YOGYAKARTA,2016,432,3718.5,17.2302634728628,55.82,0.787516326390321,4304.93,0.104181444499009
DI YOGYAKARTA,2017,-2642,3768.2,16.387022644942,55.48,0.763174724993605,4436.74,0.100168724659823
DI YOGYAKARTA,2018,24647,3818.3,24.2535467500758,54.81,0.752815649081209,4797.85,0.0978292686684435
DI YOGYAKARTA,2019,283,3868.6,24.3438711839523,47.86,0.731892071215305,4648.47,0.0938474845442686
JAWA TIMUR,2015,-10013,38784.3,22.8401194566917,61.13,0.465841791863674,4265.65,0.136532746233026
JAWA TIMUR,2016,-4734,39041.4,22.7410812818059,59.84,0.465020123518698,4116.18,0.134423070498098
JAWA TIMUR,2017,-5145,39287.3,22.6334447355896,57.15,0.44087022973683,4340.35,0.128397679388828
JAWA TIMUR,2018,205483,39521.9,26.932274750391,58.26,0.398175778304386,4651.22,0.11845167551031
JAWA TIMUR,2019,-72447,39744.8,25.4146506876381,56.28,0.374518313573822,4552.68,0.113575116102883
BANTEN,2015,-988,11967.6,20.6451052062938,56.61,0.175050264237384,4641.23,0.0586730648862925
BANTEN,2016,3631,12157.2,21.020871537796,56.63,0.184858059123754,4290.11,0.0602145596237097
BANTEN,2017,-3715,12345,20.636412181825,56.31,0.184881982537751,4320.73,0.0590243400437901
BANTEN,2018,-1124,12530.8,20.5200912353616,48.94,0.185413550293699,4850.6,0.0579566115567836
BANTEN,2019,6051,12714.3,21.1462994622743,48.41,0.182031864673485,4636.66,0.0559758422914137
BALI,2015,-733,4148.4,13.1351577665284,62.14,2.24262408885804,4298.24,0.14649714023343
BALI,2016,174,4202.4,13.1652612602637,60.6,2.26766578035614,4294.8,0.145004894636509
BALI,2017,-1818,4256,12.8507316533046,59.09,2.30832429080763,4262.79,0.139797968418483
BALI,2018,-5200,4309.2,11.9510870129376,60.11,2.28833962532944,4522.32,0.137503905631385
BALI,2019,1918,4362,12.2829174783653,60.78,2.2224335847819,4501.9,0.134483634602713
NTB,2015,10368,4846.7,14.2505621268641,51.71,5.53149606299213,3884.93,0.212747835139356
NTB,2016,11564,4924.8,14.8732091628833,46.49,5.46708046996232,3938.86,0.211754604387584
NTB,2017,76,5001.8,14.8773012741542,49.26,5.52724684831232,3958,0.219531104883584
NTB,2018,-48520,5077.7,12.2648112890581,50.49,5.68033587190002,4402.04,0.234838699260503
NTB,2019,6756,5152.4,12.6285784436193,49.78,5.55728404099561,4142.71,0.229169811320755
NTT,2015,4284,5126.1,3.63803186084843,35.61,24.1785334750266,4763.68,0.298892552646445
NTT,2016,3801,5204.7,3.71605214489071,35.65,23.5096711798839,5319.85,0.290280978708668
NTT,2017,3307,5282.8,3.78393246042025,35.42,22.7968613775065,5412.33,0.288103659141242
NTT,2018,-38275,5360.3,2.99829016320423,41.24,22.3743016759777,5114.18,0.283382189426868
NTT,2019,9449,5437.2,3.19224271882524,40.82,21.2128113879004,4960.55,0.279241464602931
KALIMANTAN BARAT,2015,6765,4795.5,2.24513431133619,29.4,1.30160718914715,4630.6,0.205429105240907
KALIMANTAN BARAT,2016,26017,4859.9,2.42175185157528,27.49,1.25540592535591,4731.85,0.202201234476091
KALIMANTAN BARAT,2017,11987,4923.1,2.50312612435254,27.54,1.25691658235356,4388.99,0.202975875240853
KALIMANTAN BARAT,2018,-212910,4985.1,1.0577772950369,27.92,1.2520933205497,4730.69,0.201804901667886
