day,price,sub_category,main_category
2017-01-09,10050,Beras Kualitas Bawah 1,Beras
2017-01-10,10100,Beras Kualitas Bawah 1,Beras
2017-01-11,10100,Beras Kualitas Bawah 1,Beras
2017-01-12,10100,Beras Kualitas Bawah 1,Beras
2017-01-13,10100,Beras Kualitas Bawah 1,Beras
2017-01-16,10050,Beras Kualitas Bawah 1,Beras
2017-01-17,10100,Beras Kualitas Bawah 1,Beras
2017-01-18,10100,Beras Kualitas Bawah 1,Beras
2017-01-19,10100,Beras Kualitas Bawah 1,Beras
2017-01-20,10100,Beras Kualitas Bawah 1,Beras
2017-01-23,10050,Beras Kualitas Bawah 1,Beras
2017-01-24,10100,Beras Kualitas Bawah 1,Beras
2017-01-25,10050,Beras Kualitas Bawah 1,Beras
2017-01-26,10050,Beras Kualitas Bawah 1,Beras
2017-01-27,10050,Beras Kualitas Bawah 1,Beras
2017-01-30,10050,Beras Kualitas Bawah 1,Beras
2017-01-31,10100,Beras Kualitas Bawah 1,Beras
2017-02-01,10050,Beras Kualitas Bawah 1,Beras
2017-02-02,10050,Beras Kualitas Bawah 1,Beras
2017-02-03,10050,Beras Kualitas Bawah 1,Beras
2017-02-06,10050,Beras Kualitas Bawah 1,Beras
2017-02-07,10050,Beras Kualitas Bawah 1,Beras
2017-02-08,10050,Beras Kualitas Bawah 1,Beras
2017-02-09,10100,Beras Kualitas Bawah 1,Beras
2017-02-10,10050,Beras Kualitas Bawah 1,Beras
2017-02-13,10050,Beras Kualitas Bawah 1,Beras
2017-02-14,10100,Beras Kualitas Bawah 1,Beras
2017-02-15,9850,Beras Kualitas Bawah 1,Beras
2017-02-16,10100,Beras Kualitas Bawah 1,Beras
2017-02-17,10100,Beras Kualitas Bawah 1,Beras
2017-02-20,10100,Beras Kualitas Bawah 1,Beras
2017-02-21,10100,Beras Kualitas Bawah 1,Beras
2017-02-22,10100,Beras Kualitas Bawah 1,Beras
2017-02-23,10100,Beras Kualitas Bawah 1,Beras
2017-02-24,10100,Beras Kualitas Bawah 1,Beras
2017-02-27,10050,Beras Kualitas Bawah 1,Beras
2017-02-28,10050,Beras Kualitas Bawah 1,Beras
2017-03-01,10050,Beras Kualitas Bawah 1,Beras
2017-03-02,10050,Beras Kualitas Bawah 1,Beras
2017-03-03,10050,Beras Kualitas Bawah 1,Beras
2017-03-06,10050,Beras Kualitas Bawah 1,Beras
2017-03-07,10050,Beras Kualitas Bawah 1,Beras
2017-03-08,10050,Beras Kualitas Bawah 1,Beras
2017-03-09,10050,Beras Kualitas Bawah 1,Beras
2017-03-10,10050,Beras Kualitas Bawah 1,Beras
2017-03-13,10000,Beras Kualitas Bawah 1,Beras
2017-03-14,10000,Beras Kualitas Bawah 1,Beras
2017-03-15,10000,Beras Kualitas Bawah 1,Beras
2017-03-16,10000,Beras Kualitas Bawah 1,Beras
2017-03-17,10000,Beras Kualitas Bawah 1,Beras
2017-03-20,10000,Beras Kualitas Bawah 1,Beras
2017-03-21,10000,Beras Kualitas Bawah 1,Beras
2017-03-22,10000,Beras Kualitas Bawah 1,Beras
2017-03-23,10000,Beras Kualitas Bawah 1,Beras
2017-03-24,10000,Beras Kualitas Bawah 1,Beras
2017-03-27,10000,Beras Kualitas Bawah 1,Beras
2017-03-29,9950,Beras Kualitas Bawah 1,Beras
2017-03-30,10000,Beras Kualitas Bawah 1,Beras
