Y,X1,X2,X3,X4,Z1,Z2,Z3,Z4,Z5,Z6,Z7
6.5792512120101,7.60090245954208,0,1.79175946922806,2.26176309847379,54,6,0,1,1,0,0
6.29156913955832,7.57558465155779,3.04452243772342,2.63905732961526,3.68887945411394,58,9,0,1,1,0,0
6.5792512120101,7.74066440191724,3.04452243772342,3.04452243772342,3.66356164612965,57,6,0,1,1,0,0
6.98471632011827,8.00636756765025,3.04452243772342,2.56494935746154,3.41772668361337,53,6,0,1,1,0,0
8.1886891244442,9.39266192877014,3.04452243772342,2.77258872223978,3.26575941076705,48,12,0,0,1,0,0
7.2211050981825,8.00636756765025,2.39789527279837,2.39789527279837,3.06805293513362,51,12,0,0,1,0,0
7.27239839257005,8.29404964010203,2.39789527279837,2.39789527279837,2.83321334405622,27,9,0,0,1,0,0
6.98471632011827,8.00636756765025,2.39789527279837,2.39789527279837,2.91777073208428,51,12,0,1,1,0,0
7.67786350067821,9.21034037197618,0,1.79175946922806,2.37954613413017,63,12,0,1,1,0,0
8.29404964010203,9.47270463644367,0,1.6094379124341,2.3887627892351,53,12,0,1,1,1,0
7.13886699994552,8.00636756765025,5.30330490805908,4.00733318523247,4.9452074887738,48,9,0,1,1,0,0
7.13886699994552,8.00636756765025,3.93182563272433,2.94443897916644,3.71357206670431,56,9,0,0,1,0,0
6.67456139181443,7.82404601085629,3.58351893845611,3.3322045101752,3.85014760171006,53,6,0,0,0,0,0
7.13886699994552,8.07090608878782,3.93182563272433,2.94443897916644,3.76120011569356,55,15,0,1,1,0,0
7.27239839257005,8.51719319141624,3.25809653802148,3.43398720448515,3.56388296393925,57,6,0,1,1,1,1
5.16478597392351,8.51559191004926,4.61512051684126,3.61091791264422,4.18965474202643,60,1,0,0,0,1,0
5.34233425196481,8.51559191004926,0,2.19722457733622,3.02042488614436,45,6,0,0,1,1,0
5.34233425196481,8.51559191004926,1.09861228866811,2.83321334405622,2.94968833505258,55,1,0,0,0,1,0
5.34233425196481,8.22790983759748,3.76120011569356,2.83321334405622,2.77881927199042,50,1,0,0,0,1,0
5.97888576490112,7.53476265703754,3.87120101090789,2.77258872223978,3.11351530921037,55,1,0,0,0,1,0
5.34233425196481,7.82244472948932,0,3.43398720448515,4.56017282005736,52,1,0,0,1,1,0
5.2257466737132,7.35244110024358,0,2.39789527279837,4.57367951889672,51,1,0,1,1,1,0
5.85220247977447,7.82244472948932,0,3.68887945411394,4.17130560335823,47,12,0,1,1,1,0
4.23410650459726,7.12929754892937,0,2.39789527279837,4.3528552573736,40,9,0,1,0,1,0
6.39692965521615,7.82244472948932,0,2.70805020110221,3.64805745959368,48,12,0,1,0,1,0
7.49554194388426,8.63337494570565,4.11087386417331,2.99573227355399,4.0342406381524,58,6,0,0,1,1,0
4.14313472639153,7.12929754892937,2.39789527279837,2.56494935746154,3.60277675506052,50,9,0,0,0,1,0
7.49554194388426,8.73873546136347,0,2.99573227355399,3.93182563272433,48,12,0,1,0,1,0
