age_yr;family_org;exp_yr;mid;downstream;acreage_sqm;yield_kg;labour_org;seed_kg;manure_kg;log_acreage;log_yield;log_labour;log_seed;log_manure;d1_1;d1_2;d1_3;d1_4;d2_1;d2_2;d2_3;d2_4;d2_5;d3_1;d3_2;d3_3;d3_4;d4_1;d4_2;d4_3;d4_4;e1_1;e1_2;e1_3;e1_4;e2_1;e2_2;e2_3;e2_4;e2_5;e3_1;e3_2;e3_3;e3_4;f1_1;f1_2;f1_3;f1_4;f2_1;f2_2;f2_3;f2_4;f3_1;f3_2;f3_3;f3_4;f3_5;g1_1;g1_2;g1_3;g1_4;g1_5;g2_1;g2_2;g2_3;g2_4;adaptasi1_1;adaptasi1_2;adaptasi1_3;lingkungan2_1;lingkungan2_2;mitigasi3_1;mitigasi3_2;mitigasi3_3;mitigasi3_4;mitigasi3_5;produksi4_1;produksi4_2;produksi4_3;produksi4_4;produksi4_5;sosial5_1;sosial5_2;sosial5_3;ekonomi6_1;ekonomi6_2;ekonomi6_3;ekonomi6_4;ekonomi6_5;ekonomi6_6
32;2;10;0;0;3500;1400;1;9.9995;400.001;3.54406804435028;3.14612803567824;0;0.999978284733019;2.60206107706281;3.29930058871261;2.54320250946164;3.33136848638446;3.626474743356;2.22968699326937;2.30413729102943;2.18594503766934;2.23745981113385;2.28323413237892;3.1322696687897;3.46282790718806;3.58493271188774;3.65341842743192;3.29561717629922;2.43247411919635;3.39423935463136;3.60952280611687;3.9443867724375;2.24720222864421;2.13161221186729;2.18716124235017;1;1;1;1;1;2.29963817688237;2.20505496578415;1;1;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;2.8786203527613;3.69916605436049;3.52970480242446;3.74795496312159;2.25494251102376;1.96722096956597;3.36761859499357;2.20635182314303;1.97578381159481;3.92476742236085;2.38080044094893;2.38496754694837;2.36312148816913;2.12896031990924;1.99998511662762;1;2.09080788958823;2.03467826156653;2.321201;1;2.905658;3.030641;1;2.302462;2.684162;3.08235;2.718569;1;2.605249;3.573757;1;1;1;3.805811;1;1;3.361935;3.188445;2.417717;3.323561;3.259124;3.404671
60;4;20;0;1;6000;15000;1;49.98;399.96;3.77815125038364;4.17609125905568;0;1.69879625179043;2.60201655970815;3.29930058871261;3.55774066702523;2.30953238350105;3.626474743356;2.22968699326937;2.30413729102943;2.18594503766934;2.23745981113385;2.28323413237892;2.1901362459633;2.58593933232526;2.3523464334854;2.43959482877361;3.29561717629922;2.43247411919635;2.44594206680838;3.60952280611687;1.9698178204238;2.24720222864421;1;2.18716124235017;2.08858216452189;2.14572790578305;2.14988140028723;2.36735499135022;2.0216462429411;2.29963817688237;3.07992614689203;2.18360252716324;2.89397811126238;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;2.12433991095465;2.75680720075089;3.52970480242446;3.74795496312159;3.37905056163788;2.83209444307479;3.36761859499357;3.53975702854426;2.84800066015709;3.92476742236085;2.38080044094893;2.38496754694837;2.36312148816913;2.12896031990924;1.99998511662762;2.22453451561005;2.09080788958823;2.03467826156653;1.843951;1;1;1;1;1;2.684162;1;1.974185;1;1;1.878815;1;1;2.115827;1;1;1;3.361935;3.188445;1.674772;3.323561;3.259124;3.404671
59;3;26;0;1;8000;1500;30;48;400;3.90308998699194;3.17609125905568;1.47712125471966;1.68124123737559;2.60205999132796;3.29930058871261;2.54320250946164;2.30953238350105;2.52124561291124;2.94461110793176;3.18003084730744;2.95864693240493;3.07091638978975;3.02302234443974;4.14495141540325;4.24608497988177;2.3523464334854;3.65341842743192;2.41355624326404;2.43247411919635;2.44594206680838;2.53115219901003;3.9443867724375;4.00874465837667;3.85267436368364;4.05885410729385;4.35467318283299;4.42365405002657;4.53295183984895;2.36735499135022;4.55970583625675;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;3.51548805217588;3.67009832199333;3.46320170746022;3.51973720280498;3.78516282478141;4.58912371182732;3.52970480242446;4.69216891683647;2.25494251102376;2.83209444307479;3.36761859499357;3.53975702854426;5.25878591486575;2.93663138247969;3.44299683380665;3.51101002477435;3.32671046779238;2.94414672725435;2.86889033290433;3.33856936219102;2.95244891980085;2.78634843669992;3.400244;1;2.905658;3.030641;2.552228;2.302462;2.684162;3.08235;3.624194;1;2.605249;3.573757;1;3.205278;2.115827;2.075129;1.81856;4.118641;3.361935;3.188445;4.628745;3.323561;3.259124;1.937957
45;3;25;0;1;5000;3000;29;5;45;3.69897000433602;3.47712125471966;1.46239799789896;0.698970004336019;1.65321251377534;2.28225546322899;2.54320250946164;2.30953238350105;2.52124561291124;4.93597898202048;5.30031668088684;5.21716840891571;5.05491040235879;5.12622218173134;1;5.52178731590242;1;2.43959482877361;4.11256210180924;4.0084586492562;4.22171297963188;4.53834412237969;3.9443867724375;4.00874465837667;3.85267436368364;4.05885410729385;4.35467318283299;4.42365405002657;2.14988140028723;1;2.63965719851903;5.04187998317914;3.07992614689203;2.98815893707634;2.89397811126238;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;5.03556838940938;5.81649774114756;5.82884419770667;5.99035811346121;1;1;1;1;1;2.93663138247969;3.44299683380665;3.51101002477435;3.32671046779238;2.94414672725435;4.04820219607644;3.33856936219102;2.95244891980085;2.78634843669992;1;1;2.905658;1;1;1;1;4.261663;3.624194;1;2.605249;3.573757;1;1;2.115827;2.859918;3.387267;2.15365;5.086402;4.700008;3.443439;3.323561;3.259124;3.404671
55;2;30;0;0;3500;1600;1;9.9995;400.001;3.54406804435028;3.20411998265592;0;0.999978284733019;2.60206107706281;3.29930058871261;3.55774066702523;3.33136848638446;3.626474743356;2.22968699326937;2.30413729102943;2.95864693240493;2.23745981113385;2.28323413237892;3.1322696687897;3.46282790718806;3.58493271188774;3.65341842743192;3.29561717629922;3.28560161854869;2.44594206680838;2.53115219901003;1.9698178204238;2.24720222864421;1;1;1;1;1;1;1;1;1;2.18360252716324;2.21240122373237;2.47972427536165;2.5628832159573;2.47541720935374;2.36706545328246;2.12433991095465;2.75680720075089;3.52970480242446;3.74795496312159;2.25494251102376;2.83209444307479;3.36761859499357;3.53975702854426;1.97578381159481;3.92476742236085;1;1;1;1;1.99998511662762;2.22453451561005;2.09080788958823;2.03467826156653;3.400244;3.469119;2.905658;1;1;2.302462;2.684162;3.08235;2.718569;1;2.605249;3.573757;1;1;1;2.859918;1;1;3.361935;3.188445;3.443439;3.323561;3.259124;3.404671
43;4;20;0;0;1200;600;1;9.9996;520.0008;3.07918124604762;2.77815125038364;0;0.999982627873279;2.71600401177964;4.2542925832878;3.55774066702523;3.33136848638446;2.52124561291124;2.22968699326937;3.18003084730744;2.18594503766934;2.23745981113385;2.28323413237892;3.1322696687897;3.46282790718806;3.58493271188774;3.65341842743192;3.29561717629922;3.28560161854869;3.39423935463136;3.60952280611687;1.9698178204238;2.24720222864421;2.13161221186729;2.18716124235017;1;1;1;1;1;2.29963817688237;2.20505496578415;1;1;2.47972427536165;2.5628832159573;3.46320170746022;3.51973720280498;2.8786203527613;3.69916605436049;3.52970480242446;3.74795496312159;2.25494251102376;3.97858642299128;2.2414941394042;3.53975702854426;1.97578381159481;3.92476742236085;2.38080044094893;2.38496754694837;3.32671046779238;2.12896031990924;1.99998511662762;2.22453451561005;2.09080788958823;2.03467826156653;2.321201;1;2.905658;1;1;2.302462;2.684162;3.08235;2.718569;1;2.605249;3.573757;1;1;1;2.859918;1;1;3.361935;3.188445;3.443439;3.323561;3.259124;3.404671
56;4;10;0;1;40000;28000;1;130;2400;4.60205999132796;4.44715803134222;0;2.11394335230684;3.38021124171161;3.29930058871261;3.55774066702523;3.33136848638446;3.626474743356;3.69741969909386;4.03929773138387;2.95864693240493;3.87962946468104;3.79853621269151;4.14495141540325;5.52178731590242;3.58493271188774;3.65341842743192;3.29561717629922;3.28560161854869;2.44594206680838;2.53115219901003;2.77800192451502;3.07948047043016;2.13161221186729;2.18716124235017;3.31290682887049;2.91140592315142;3.53153025530216;2.36735499135022;3.37691315818969;3.85216486801159;3.07992614689203;2.98815893707634;3.66964946192881;4.3431839666906;3.67009832199333;4.33202797708344;3.51973720280498;3.78516282478141;4.58912371182732;4.4868514378954;4.69216891683647;3.37905056163788;2.83209444307479;3.36761859499357;3.53975702854426;3.91202946372234;3.92476742236085;3.44299683380665;2.38496754694837;3.32671046779238;2.94414672725435;4.04820219607644;3.33856936219102;2.95244891980085;3.54177339366547;1.843951;1;1;1;1;3.177772;2.684162;1;1.974185;2.365555;2.605249;3.573757;1;1;2.496823;2.075129;2.202079;2.905798;3.361935;4.700008;3.443439;3.323561;3.259124;3.404671
53;3;25;0;1;45000;27000;1;159.75;1599.3;4.65321251377534;4.43136376415899;0;2.20344086683044;3.20392993724463;3.29930058871261;3.55774066702523;3.33136848638446;3.626474743356;3.69741969909386;4.03929773138387;3.82890753568842;5.05491040235879;3.79853621269151;4.14495141540325;5.52178731590242;3.58493271188774;3.65341842743192;4.11256210180924;3.28560161854869;3.39423935463136;3.60952280611687;3.9443867724375;3.07948047043016;2.94233011372017;3.10234489670439;4.35467318283299;2.91140592315142;3.53153025530216;2.36735499135022;3.37691315818969;3.85216486801159;4.0015310262084;3.92188812750499;3.66964946192881;4.3431839666906;3.67009832199333;4.33202797708344;3.51973720280498;3.78516282478141;4.58912371182732;4.4868514378954;4.69216891683647;3.37905056163788;2.83209444307479;3.36761859499357;3.53975702854426;3.91202946372234;3.92476742236085;4.50997328650962;3.51101002477435;4.17504038364695;3.78621845510159;4.04820219607644;3.33856936219102;2.95244891980085;3.54177339366547;1.843951;1;1;1;2.552228;3.79577;2.684162;4.261663;1.974185;3.113618;2.605249;5.258525;1;1;3.76995;2.075129;2.202079;2.905798;2.000073;4.700008;3.443439;4.813473;3.259124;4.938916
70;1;50;0;0;1400;700;1;10.0002;300.0004;3.14612803567824;2.84509804001426;0;1.00000868580278;2.47712183377859;4.2542925832878;2.54320250946164;3.33136848638446;2.52124561291124;2.22968699326937;3.18003084730744;2.95864693240493;2.23745981113385;2.28323413237892;3.1322696687897;2.58593933232526;3.58493271188774;3.65341842743192;3.29561717629922;3.28560161854869;3.39423935463136;3.60952280611687;1;1;1;1;1;1;1;1;1;1;1;2.18360252716324;2.21240122373237;3.51548805217588;3.67009832199333;3.46320170746022;3.51973720280498;2.8786203527613;3.69916605436049;2.53375234479293;2.76673291161913;2.25494251102376;1.96722096956597;2.2414941394042;2.20635182314303;1.97578381159481;5.45967305323282;2.38080044094893;2.38496754694837;3.32671046779238;1;1.99998511662762;2.22453451561005;2.09080788958823;2.03467826156653;2.321201;1;2.905658;1;1;2.302462;2.684162;3.08235;2.718569;1;2.605249;3.573757;2.527282;1;1;2.859918;1;1;3.361935;3.188445;3.443439;3.323561;3.259124;3.404671
63;3;40;0;0;2000;1600;1;40;400;3.30102999566398;3.20411998265592;0;1.60205999132796;2.60205999132796;3.29930058871261;3.55774066702523;3.33136848638446;3.626474743356;1;2.30413729102943;2.18594503766934;1;1;1;5.52178731590242;3.58493271188774;3.65341842743192;3.29561717629922;3.28560161854869;3.39423935463136;3.60952280611687;2.77800192451502;3.07948047043016;1;1;2.08858216452189;2.14572790578305;2.14988140028723;2.36735499135022;2.0216462429411;2.29963817688237;2.20505496578415;2.18360252716324;2.21240122373237;3.51548805217588;2.5628832159573;3.46320170746022;3.51973720280498;3.78516282478141;4.58912371182732;3.52970480242446;3.74795496312159;3.37905056163788;2.83209444307479;3.36761859499357;3.53975702854426;2.84800066015709;3.92476742236085;2.38080044094893;2.38496754694837;2.36312148816913;2.12896031990924;1.99998511662762;2.22453451561005;2.09080788958823;2.03467826156653;3.400244;1;2.905658;1;1;2.302462;2.684162;3.08235;1.974185;1;2.605249;5.258525;2.706959;2.34137;1;2.859918;1;1;3.361935;3.188445;2.417717;3.323561;3.259124;3.404671
36;4;10;0;0;3200;1800;1;20;400;3.50514997831991;3.25527250510331;0;1.30102999566398;2.60205999132796;3.29930058871261;3.55774066702523;3.33136848638446;1;1;2.30413729102943;1;1;2.28323413237892;2.1901362459633;2.58593933232526;3.58493271188774;3.65341842743192;3.29561717629922;2.43247411919635;2.44594206680838;2.53115219901003;1.9698178204238;2.24720222864421;1;1;1;1;1;1;1;3.85216486801159;1;3.92188812750499;2.21240122373237;2.47972427536165;2.5628832159573;2.47541720935374;3.51973720280498;2.8786203527613;3.69916605436049;3.52970480242446;3.74795496312159;2.25494251102376;1.96722096956597;3.36761859499357;3.53975702854426;1;5.45967305323282;1;2.38496754694837;2.36312148816913;1;1.99998511662762;1;1;1;2.321201;1;2.905658;1;1;1;2.684162;3.08235;1.974185;1;2.605249;3.573757;1;1;1;2.859918;1;1;2.000073;3.188445;2.417717;3.323561;3.259124;3.404671
